PRICE,BEDS,BATH,PROPERTYSQFT,neighborhood,PRICE_PER_SQFT
1695000,5,2.0,2250.0,268,753.3333333333334
2499000,5,2.3738608579684373,4100.0,71,609.5121951219512
1970000,4,4.0,2508.0,220,785.4864433811803
1895000,2,2.0,2184.207862,291,867.5914197400685
689000,3,2.3738608579684373,1248.0,159,552.0833333333334
649999,3,2.0,1440.0,135,451.3881944444444
669000,3,2.0,864.0,264,774.3055555555555
800000,3,2.0,825.0,177,969.6969696969697
2375000,1,2.0,2184.207862,305,1087.3507239486348
2400000,6,6.0,6688.0,249,358.85167464114835
390000,2,1.0,586.0,65,665.5290102389079
2250000,1,1.0,2184.207862,285,1030.121738477654
1450000,4,2.3738608579684373,2700.0,272,537.0370370370371
725000,2,2.0,792.0,266,915.4040404040404
269000,1,1.0,2184.207862,92,123.15677673355063
695000,2,2.0,2184.207862,284,318.19315921865314
1300000,3,2.0,2184.207862,101,595.1814488982001
459000,3,2.0,1250.0,167,367.2
689999,3,2.0,1008.0,170,684.5228174603175
425000,3,2.0,1405.0,201,302.491103202847
10000000,5,4.0,6800.0,284,1470.5882352941176
1525000,2,2.0,2184.207862,273,698.1936227459655
1499000,9,6.0,3519.0,167,425.973287865871
695000,2,2.0,2184.207862,284,318.19315921865314
1300000,3,2.0,2184.207862,101,595.1814488982001
269000,1,1.0,2184.207862,92,123.15677673355063
425000,3,2.0,1405.0,201,302.491103202847
1499000,9,6.0,3519.0,167,425.973287865871
519000,3,2.0,1480.0,116,350.6756756756757
358000,2,1.0,2184.207862,79,163.90381438888895
975000,3,1.0,2184.207862,295,446.3860866736501
29200000,12,10.0,11638.0,184,2509.0221687575186
498000,2,1.0,975.0,147,510.7692307692308
385000,1,2.0,900.0,79,427.77777777777777
999000,6,2.0,3144.0,175,317.7480916030534
399000,1,1.0,2184.207862,78,182.67492162337064
599000,4,4.0,2800.0,161,213.92857142857142
829888,4,2.3738608579684373,1800.0,189,461.0488888888889
699998,3,2.0,1548.0,159,452.1950904392765
1088000,5,2.0,2184.207862,71,498.1210895394167
999000,6,2.0,1280.0,235,780.46875
1188888,15,9.0,2184.207862,261,544.3108326289872
265000,1,1.0,700.0,79,378.57142857142856
288000,1,1.0,845.0,103,340.8284023668639
999995,3,2.0,1750.0,284,571.4257142857143
1495000,2,2.0,1350.0,284,1107.4074074074074
925000,1,1.0,1000.0,284,925.0
349000,2,1.0,2184.207862,176,159.78332743497833
2000000,4,4.0,3000.0,257,666.6666666666666
839000,3,2.0,1376.0,167,609.7383720930233
329000,1,1.0,820.0,71,401.219512195122
899000,6,3.0,3683.0,130,244.09448818897638
615000,3,2.0,2184.207862,128,281.5666085172254
800000,2,2.0,1257.0,214,636.4359586316627
430000,2,2.0,1248.0,99,344.55128205128204
499000,3,2.0,1288.0,99,387.4223602484472
439500,3,2.0,1400.0,31,313.92857142857144
299000,1,1.0,2184.207862,31,136.89173324658603
2580000,8,2.3738608579684373,6493.0,264,397.35099337748346
200000,1,1.0,613.0,36,326.2642740619902
425000,3,1.0,2184.207862,226,194.57855060133465
69000,1,1.0,850.0,1,81.17647058823529
1995000,3,2.0,1546.0,273,1290.4269081500647
230000,1,1.0,620.0,273,370.96774193548384
220000,1,1.0,590.0,30,372.8813559322034
198000,3,1.0,2184.207862,187,90.65071298603355
1495000,1,2.0,2184.207862,290,684.4586662329301
475000,1,1.0,615.0,284,772.3577235772358
199900,2,1.0,2184.207862,148,91.52059356519246
1150000,2,2.0,1444.0,264,796.398891966759
1575000,3,2.0,2184.207862,291,721.0852169343578
229000,1,1.0,2184.207862,78,104.84350138283679
2700000,8,4.0,2184.207862,297,1236.1460861731848
320000,2,2.0,936.0,199,341.88034188034186
295000,2,1.0,700.0,168,421.42857142857144
550000,3,2.0,2184.207862,165,251.80753607231543
285000,2,1.0,1000.0,36,285.0
328000,1,1.0,800.0,110,410.0
1388000,4,3.0,2184.207862,187,635.4706546697705
3000000,10,10.0,2184.207862,299,1373.4956513035386
2198888,7,6.0,2184.207862,261,1006.7210352345119
650000,6,2.0,2310.0,199,281.38528138528136
1100000,1,2.0,890.0,279,1235.9550561797753
2649000,5,4.0,4050.0,268,654.074074074074
849000,2,1.0,800.0,281,1061.25
6500000,2,2.0,2184.207862,284,2975.9072444910003
560000,3,1.0,550.0,273,1018.1818181818181
1100000,1,2.0,890.0,279,1235.9550561797753
2649000,5,4.0,4050.0,268,654.074074074074
849000,2,1.0,800.0,281,1061.25
418888,2,1.0,900.0,248,465.43111111111114
2600000,3,3.0,3978.0,240,653.59477124183
899000,8,2.0,2160.0,125,416.2037037037037
979000,8,3.0,2860.0,165,342.3076923076923
199000,1,1.0,2184.207862,71,91.10854486980139
815000,3,1.0,2184.207862,257,373.1329852707947
1025000,1,1.0,800.0,284,1281.25
1375000,1,2.0,920.0,284,1494.5652173913043
875000,3,2.0,1437.0,112,608.9074460681976
1350000,6,3.0,3000.0,103,450.0
989000,7,3.0,2184.207862,171,452.7957330463999
815156,4,4.0,2945.0,118,276.7932088285229
1949000,3,5.0,2560.0,100,761.328125
669000,5,2.0,1893.0,143,353.4072900158479
900500,4,2.0,2184.207862,171,412.2776113329455
1465000,3,3.0,2184.207862,284,670.7237097198947
899000,3,1.0,1100.0,202,817.2727272727273
1100000,1,1.0,726.0,256,1515.1515151515152
1199000,6,5.0,2184.207862,107,548.9404286376476
325000,2,1.0,2184.207862,273,148.79536222455002
599000,4,3.0,1176.0,109,509.3537414965986
1230000,4,3.0,2184.207862,216,563.1332170344508
3950000,3,3.0,2184.207862,257,1808.4359408829926
1350000,10,5.0,3383.0,228,399.0540939994088
799000,5,3.0,1800.0,165,443.8888888888889
1599000,5,3.0,5600.0,264,285.5357142857143
1299900,4,4.0,2755.0,246,471.83303085299457
370000,1,1.0,2184.207862,299,169.3977969941031
3225,3,1.0,2184.207862,112,1.476507825151304
3649000,3,2.0,2184.207862,257,1670.6285438688708
860000,5,3.0,2324.0,278,370.05163511187607
765000,3,4.0,2205.0,129,346.9387755102041
259000,1,1.0,750.0,165,345.3333333333333
1500000,8,3.0,3135.0,165,478.4688995215311
850000,2,2.0,1005.0,112,845.7711442786069
2494,2,1.0,2184.207862,112,1.1418327181170085
99000,1,1.0,2184.207862,171,45.32535649301678
535000,1,1.0,750.0,74,713.3333333333334
849998,4,2.0,2342.0,161,362.93680614859096
1100000,2,2.0,2184.207862,226,503.61507214463086
998000,5,3.0,1574.0,231,634.0533672172808
1500000,3,2.0,2184.207862,165,686.7478256517693
875000,6,3.0,2860.0,151,305.94405594405595
2350000,1,2.0,1144.0,295,2054.195804195804
850000,5,2.0,1908.0,151,445.49266247379455
4000000,3,2.3738608579684373,2248.0,305,1779.3594306049822
1200000,3,2.0,2184.207862,284,549.3982605214155
12000000,4,4.0,3809.0,308,3150.4331845628776
1300000,2,2.0,2184.207862,273,595.1814488982001
799000,3,1.0,585.0,273,1365.8119658119658
339000,3,1.0,250.0,184,1356.0
875000,7,5.0,2680.0,199,326.4925373134328
799000,7,2.0,2296.0,36,347.9965156794425
799000,7,2.0,2296.0,36,347.9965156794425
285000,2,1.0,1380.0,179,206.52173913043478
2499000,5,4.0,1340.0,304,1864.9253731343283
795000,4,2.0,1440.0,180,552.0833333333334
1799995,2,2.0,2184.207862,284,824.0951016227044
250000,3,2.3738608579684373,1224.0,107,204.2483660130719
5999000,3,3.0,3000.0,273,1999.6666666666667
668000,3,2.0,1606.0,137,415.94022415940225
699900,3,2.0,1470.0,159,476.1224489795918
5295000,4,4.0,4600.0,301,1151.0869565217392
2265000,2,2.0,1123.0,283,2016.918967052538
459000,2,1.0,950.0,187,483.1578947368421
1369000,4,2.3738608579684373,2900.0,189,472.0689655172414
879000,4,2.0,2184.207862,137,402.4342258319368
559000,1,1.0,679.0,214,823.2695139911634
869888,4,3.0,2184.207862,176,398.2624617070442
799888,3,2.0,2184.207862,196,366.21422984329496
749000,4,1.0,1040.0,99,720.1923076923077
499000,2,3.0,2184.207862,140,228.45811000015527
1295000,3,4.0,2193.0,273,590.515275877793
879900,3,2.0,2242.0,244,392.4620874219447
400000,2,2.0,1150.0,145,347.82608695652175
699999,6,2.3738608579684373,2184.207862,186,320.48186080560856
289000,1,1.0,666.0,126,433.93393393393393
699000,1,1.0,616.0,268,1134.7402597402597
5800,3,2.3738608579684373,2184.207862,177,2.655424925853508
479000,6,2.0,3100.0,109,154.51612903225808
1355000,2,2.0,1002.0,268,1352.2954091816366
1225000,2,2.0,882.0,268,1388.888888888889
9999000,4,6.0,4531.0,284,2206.7976164202164
105000,3,1.0,656.0,6,160.0609756097561
300000,3,1.0,952.0,224,315.12605042016804
799000,5,3.0,2400.0,145,332.9166666666667
202000,2,1.0,1453.0,79,139.02271163110805
720000,3,2.0,1430.0,102,503.4965034965035
600000,5,2.0,2184.207862,74,274.69913026070776
599000,3,1.0,1200.0,147,499.1666666666667
235000,2,1.0,860.0,129,273.25581395348837
319000,3,1.0,960.0,162,332.2916666666667
950000,12,6.0,2184.207862,261,434.9402895794539
1088888,4,2.0,2184.207862,79,498.52764425220255
1250000,4,4.0,3300.0,260,378.7878787878788
650000,3,2.3738608579684373,2184.207862,228,297.59072444910004
774888,3,2.0,960.0,164,807.175
105509,1,1.0,650.0,41,162.32153846153847
995000,5,2.0,2184.207862,268,455.542724349007
995000,5,2.0,2184.207862,268,455.542724349007
769000,4,2.0,1728.0,145,445.02314814814815
395995,2,1.0,1100.0,43,359.99545454545455
975000,1,2.0,900.0,257,1083.3333333333333
499999,2,1.0,1744.0,91,286.6966743119266
1649000,2,2.0,2184.207862,273,754.9647763331784
365000,2,1.0,2184.207862,31,167.10863757526388
748999,3,2.0,1620.0,142,462.3450617283951
635000,3,2.0,2184.207862,140,290.72324619258234
149000,3,1.0,400.0,192,372.5
1099000,5,2.0,1760.0,107,624.4318181818181
3950000,3,2.3738608579684373,2184.207862,272,1808.4359408829926
1529999,6,5.0,2400.0,157,637.4995833333334
675000,3,1.0,1404.0,115,480.7692307692308
2650000,6,6.0,2184.207862,107,1213.2544919847926
420000,3,1.0,2184.207862,131,192.28939118249542
